attempt,batch_size,active_connections_before,active_connections_after,validation_loss_before,validation_loss_after,relative_loss_change,accepted,fine_tuning_epochs
1,138,276,138,5.41134994600244E-06,3.66783605074282E-06,-0.32219573907757,1,10000
2,138,138,138,5.41134994600244E-06,0.469382734745107,86739.4140240195,0,10000
3,69,138,138,5.41134994600244E-06,1.61459739153546E-05,1.98372385383839,0,10000
4,34,138,138,5.41134994600244E-06,2.31842547982237E-05,3.28437543858178,0,10000
5,17,138,121,5.41134994600244E-06,5.93505632916893E-06,0.0967792488736327,1,10000
6,17,121,104,5.41134994600244E-06,2.38616138523854E-06,-0.559045079499749,1,10000
7,17,104,86,5.41134994600244E-06,1.71772242339411E-06,-0.682570441657898,1,10000
8,17,86,86,5.41134994600244E-06,7.33153879241184E-06,0.354844699672013,0,10000
9,8,86,78,5.41134994600244E-06,2.49742844225022E-06,-0.538483286578951,1,10000
10,8,78,70,5.41134994600244E-06,2.34488439172067E-06,-0.566672934643061,1,10000
11,8,70,53,5.41134994600244E-06,4.91343022959868E-06,-0.0920139561056472,1,10000
12,8,53,53,5.41134994600244E-06,1.0186386857649E-05,0.882411405526284,0,10000
13,4,53,49,5.41134994600244E-06,5.66104129128157E-06,0.0461421545031629,1,10000
14,4,49,42,5.41134994600244E-06,5.09005110243073E-06,-0.0593749890097331,1,10000
15,4,42,31,5.41134994600244E-06,1.59644427976141E-06,-0.704982251066435,1,10000
16,4,31,31,5.41134994600244E-06,1.36934138357241E-05,1.53049866897628,0,10000
17,2,31,27,5.41134994600244E-06,2.36421680719956E-06,-0.5631003666754,1,10000
18,2,27,27,5.41134994600244E-06,1.68694874194031E-05,2.11742681359301,0,10000
19,1,27,27,5.41134994600244E-06,2.02321705406782E-05,2.73883979830659,0,10000
9100,1,27,21,5.41134994600244E-06,5.53474644357614E-06,0.0228032743779314,1,3000
9101,1,21,16,5.41134994600244E-06,5.71798912741038E-06,0.056665930769173,1,3000
9102,1,16,12,5.41134994600244E-06,3.99434260347133E-06,-0.261858382228247,1,3000
