index,src,dst,weight
0,0,1,0.512563250776739
1,0,2,0.308218947501408
2,0,3,-0.0449021780429692
3,0,4,-0.0827705088287531
4,0,5,0.0205338444644308
5,0,6,0.0705950161875377
6,0,7,0.334594197485562
7,0,8,-0.355541546450405
8,0,9,-0.119372118667323
9,0,10,0.146025584799971
10,0,11,-0.1834274648939
11,0,12,-0.547691987220051
12,0,13,-0.374023186426798
13,0,14,-0.112366732264611
14,0,15,0.418977896425644
15,0,16,-0.330272579775526
16,0,17,-0.346420692686776
17,0,18,0.771454850199297
18,0,19,0.412126262496655
19,0,20,-0.190578304860634
20,0,21,0.362176140112963
21,0,22,-0.0788713100446695
22,0,23,0.334260377560013
23,1,2,-0.42366542560723
24,1,3,0.0710979945798459
25,1,4,-0.258233414465185
26,1,5,0.171572048823963
27,1,6,0.174334851426738
28,1,7,0.128396927469629
29,1,8,0.0400677134428023
30,1,9,0.195363600322283
31,1,10,-0.107033612248382
32,1,11,0.357231719923332
33,1,12,-0.39686313328761
34,1,13,0.0269951278807172
35,1,14,-0.268557707844588
36,1,15,0.123981503773388
37,1,16,0.17769280078424
38,1,17,-0.183062084055658
39,1,18,0.0188677064893122
40,1,19,-0.0118955947360967
41,1,20,-0.355018380158575
42,1,21,-0.243903369136631
43,1,22,-0.188483416358747
44,1,23,0.418501476101581
45,2,3,0.172881072498311
46,2,4,-0.0433718753720887
47,2,5,0.254740454300883
48,2,6,0.107096350112823
49,2,7,0.0779867857631694
50,2,8,0.231794899878962
51,2,9,0.0818337113104903
52,2,11,-0.318895835057665
53,2,12,-0.126276710473892
54,2,13,-0.286175636718936
55,2,14,-0.17967121122445
56,2,15,0.0291588057365886
57,2,16,0.21021753832405
58,2,17,-0.173878678663963
59,2,18,0.318016446881171
60,2,19,-0.195197314619786
61,2,20,0.0590655619186378
62,2,21,0.175981301221389
63,2,22,0.371803492530102
64,2,23,0.35298073748052
65,3,4,0.0630037270984834
66,3,5,-0.44118487161141
67,3,6,0.0575292158509834
68,3,7,0.241658813731596
69,3,8,0.149380908954981
70,3,9,-0.0871208424583106
71,3,10,0.105087750823321
72,3,11,-0.0920002308006241
73,3,12,-0.411657378693432
74,3,13,-0.0537049453532683
75,3,14,0.13324970601815
76,3,15,-0.297588818178245
77,3,16,-0.283201496095595
78,3,17,0.343464899320613
79,3,18,0.217718300063401
80,3,19,0.321399240475837
81,3,20,-0.323874248589579
82,3,21,-0.320847008853093
83,3,22,0.263230777363669
84,3,23,-0.209097431740805
85,4,5,0.385648912865708
86,4,6,0.276575492928051
87,4,7,0.346721427107992
88,4,8,-0.0830343312252533
89,4,9,0.306812834508857
90,4,10,-0.410163940847605
91,4,11,-0.430040791260408
92,4,12,-0.387346729086751
93,4,13,-0.070333960231242
94,4,14,-0.30092100301676
95,4,15,-0.0343965221565811
96,4,16,-0.137740340370615
97,4,17,-0.0916078707677744
98,4,18,-0.348445969444497
99,4,19,-0.304575454155985
100,4,20,-0.0639614448195376
101,4,21,-0.241019289946175
102,4,22,0.29049926025677
103,4,23,0.278174971936391
104,5,6,-0.158371707148964
105,5,7,-0.484563845400834
106,5,8,-0.375056306055614
107,5,9,-0.358302644963479
108,5,10,0.36684443380939
109,5,11,0.00879768754090495
110,5,12,-0.311796476002833
111,5,13,-0.140648628439406
112,5,14,0.302027207915415
113,5,15,-0.0449012161273575
114,5,16,0.43367120524385
115,5,17,-0.237053207909533
116,5,18,-0.00824210864509609
117,5,19,0.293252986820194
118,5,20,0.319394707863697
119,5,21,0.368685371585737
120,5,22,0.21733671828346
121,5,23,-0.269984716367946
122,6,7,-0.352104120272003
123,6,8,0.408879642546327
124,6,9,0.102064105718837
125,6,10,-0.0901027082133402
126,6,11,0.0674270630945455
127,6,12,0.382975328038625
128,6,13,0.30147981850662
129,6,14,0.38421725336839
130,6,15,-0.165160394450269
131,6,16,0.274117665071886
132,6,17,-0.321555161283747
133,6,18,0.233170329351847
134,6,19,-0.111374301388415
135,6,20,0.186254165623523
136,6,21,-0.220080295544922
137,6,22,-0.264601152821482
138,6,23,-0.0117375450529089
139,7,8,-0.404563166227098
140,7,9,0.274928451447249
141,7,10,0.163970848277008
142,7,11,0.436297939214273
143,7,12,0.337067863566758
144,7,13,0.106680803996517
145,7,14,0.170054163365124
146,7,15,-0.303356961415305
147,7,16,0.0468593577168688
148,7,18,0.442908709832531
149,7,19,-0.398562669472527
150,7,20,-0.0647989445675109
151,7,21,-0.00841695638117307
152,7,22,-0.334027333899027
153,7,23,-0.080857437241914
154,8,9,-0.289277492157624
155,8,10,-0.441302186191161
156,8,11,0.429937180760028
157,8,12,-0.134102304442235
158,8,13,0.360610967057241
159,8,14,-0.05306781862292
160,8,15,-0.384384008891433
161,8,16,-0.172806491175119
162,8,17,0.479727828007804
163,8,18,-0.310564525369838
164,8,19,-0.186587829618061
165,8,20,-0.144023469557607
166,8,21,-0.37701940601821
167,8,22,-0.270769373840985
168,8,23,-0.25480611263811
169,9,10,0.452904048055741
170,9,11,-0.166070956025291
171,9,12,-0.0904317798770433
172,9,13,0.244002166372624
173,9,14,-0.279906491571436
174,9,15,-0.405836628321686
175,9,16,-0.234590099044219
176,9,17,-0.198675312812979
177,9,18,-0.228820497614458
178,9,19,0.346055843252404
179,9,20,-0.216938692280942
180,9,21,-0.400662909696197
181,9,22,-0.0231192813239736
